id карточки,id связи с точкой (поле id в выгрузке),id точки,Координаты точки,Кадастровый номер ОКСа,Наименование ОКСа,Площадь ОКСа,Адрес ОКСа из ГКН,Иной найденный адрес,Комментарий,Инвентарный номер БТИ,Иные сведения ОКС,Кадастровый номер ЗУ,ВРИ,Площадь ЗУ,Адрес ЗУ из ГКН,Район/округ,Поселение,Населенный пункт,Эл# план стр#,Улица,Номер здания,Адрес ФИАС,Полнота исходного адреса,Почтовый индекс,Номер заявки в РЛДД,Дата заявки,Дата передачи в ОМС для внесения а,ОКТМО,Код ФИАС,Код КЛАДР,ОКАТО,Статус,Объект отмечен на отправку,Объект адресации в ФИАС,Признак принадлежности объекта,"Дата документа, на основании котор","Номер документа, на основании кото",Объект отправлен,Результат получен,Дата отправки,Дата получения результата,Статус техпроцесса Адресации,Дата создания карточки,ФИО пользователя создавшего карточку,Дата последней версии строки,Тип последнего изменения,Дата отчета Желтые,Дата отчета Синие,Дата отчета Зеленые,Для загрузки в РГИС,Stamp,Ошибка,Автор изменения строки
668877540,668877540,576131643,POINT(37.7007241265887 55.56041629928),50:21:0040112:11257,"многоэтажный жилой дом, корпус №10",23150.6,"Российская Федерация, Московская область, Ленинский муниципальный район, городское поселение Видное, город Видное, бульвар Зеленые аллеи, дом №18",,,,,50:21:0040112:4549,,1681.2,"Московская область, Ленинский муниципальный район, городское поселение Видное, вблизи д.Тарычево",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/13/2020,2,,,,,,,MOBTI\s.pakhomov
668879478,668879478,576131645,POINT(37.7012422207445 55.5609633249045),50:21:0040112:11640,Трансформаторная подстанция 2БКТП-1000 №10.2,,"Российская Федерация, Московская область, Ленинский муниципальный район, городское поселение Видное, вблизи д.Тарычево",,,,,50:21:0040112:4550,,44009,"Московская область, Ленинский муниципальный район, городское поселение Видное, вблизи д.Тарычево",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,Март 2020,,,,,,MOBTI\s.pakhomov
1304296100,738969891,574278535,55.54611 37.68652,50:21:0010123:236,жилой дом,62.3,"Московская область, Ленинский район, г.Видное, ул. Булатниковская, д.1а",,,,,50:21:0010123:162,Для ведения личного подсобного хозяйства,1725,"обл. Московская, р-н Ленинский, г. Видное-2, ул. Булатниковская, участок при доме №1А",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,08/06/20 20:10,Макеева Надежда Михайловна,6/9/2020,2,,,,,,,MOBTI\s.pakhomov
1304293120,738977711,574278545,55.54653 37.68648,50:21:0010123:237,Здание (Жилой дом),149.1,"Московская область, Ленинский р-н, г Видное, ул Булатниковская, д 3",,,,,50:21:0010123:558,ведение личного подсобного хозяйства,574.43,"Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, ул. Булатниковская, участок № 3/2",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,08/06/20 20:06,Макеева Надежда Михайловна,6/9/2020,2,,,,,,,MOBTI\s.pakhomov
719089996,719089996,574278549,POINT(37.687371246988 55.5457338966505),,,,,"Российская Федерация, Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, территория ДНТ ""ДСК им. 12 декабря"", ул. Булатниковская, дом №1б",,,,50:21:0010123:9,Для дачного строительства,56.6,"обл. Московская, р-н Ленинский, г. Видное-2, ДСК ""им.12 Декабря"", ул. Булатниковская, уч. при д.№1""А""",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Feb 22 2020  9:48AM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
668993847,668993847,574278551,POINT(37.6873272051819 55.5459440530456),50:21:0010123:619,гостевой дом (3 этажа),376.4,"Российская Федерация, Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, территория ДНТ ""ДСК им. 12 декабря"", ул. Булатниковская, дом №1б",,,,,50:21:0010123:9,,247.7,"обл. Московская, р-н Ленинский, г. Видное-2, ДСК ""им.12 Декабря"", ул. Булатниковская, уч. при д.№1""А""",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
719090020,719090020,574278553,POINT(37.6871073160385 55.546119388586),,,,,"Российская Федерация, Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, территория ДНТ ""ДСК им. 12 декабря"", ул. Булатниковская, дом №1б",,,,50:21:0010123:9,Для дачного строительства,50,"обл. Московская, р-н Ленинский, г. Видное-2, ДСК ""им.12 Декабря"", ул. Булатниковская, уч. при д.№1""А""",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Feb 22 2020  9:48AM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
917619140,738977531,574278577,POINT(37.6836552630526 55.5473563710345),50:21:0010121:108,Здание - магазин,167.6,"Московская область, Ленинский район, г.Видное, ул.Вокзальная, д.5 (магазин)",,,,,50:21:0010121:83,под размещение магазина,690,"обл. Московская, р-н Ленинский, городское поселение Видное, ул. Вокзальная, дом 5, уч-5/к",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Apr 11 2020  2:01PM,Макеева Надежда Михайловна,6/11/2020,2,Апрель 2020,,,,,,MOBTI\s.pakhomov
1304349230,738968181,574278587,55.54817 37.68333,50:21:0010122:155,Магазин Булочная,392.2,"Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, ул. Вокзальная, дом 2",,,,,50:21:0010120:99,"Для размещения торгового предприятия: магазин №2 ""Овощи-фрукты"", булочная",1108,"обл. Московская, р-н Ленинский, городское поселение Видное, г. Видное, ул. Вокзальная, дом 2",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,08/06/20 20:38,Макеева Надежда Михайловна,6/9/2020,2,,,,,,,MOBTI\s.pakhomov
668991275,668991275,574278599,POINT(37.6823853853575 55.5492123048744),50:21:0010120:131,"Ленинский филиал,",50.9,"Московская область, р-н Ленинский, г. Видное, ул. Кооперативная, магазин №15",,,,,50:21:0010120:94,,62.2,"обл. Московская, р-н Ленинский, городское поселение Видное, г. Видное, ул. Кооперативная",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
